id,sourceLang,targetLang,sourceString,targetString
1,en,zu_ZA,1918 flu,Umkhuhlane wango-1918
2,en,zu_ZA,acute bronchitis,i-acute bronchitis
3,en,zu_ZA,acute respiratory disease,isifo se-acute respiratory
4,en,zu_ZA,AIDS,I-AIDS
5,en,zu_ZA,airborne droplets,amathonsi ahamba ngomoya
6,en,zu_ZA,airway,indlela yasemoyeni
7,en,zu_ZA,alcohol-based,okune-alkhoholi
8,en,zu_ZA,alcohol-based hand rub,kokushikisha izandla okune-alkhoholi
9,en,zu_ZA,alcohol-based hand sanitizer,isihlambi-zandla esine-alkhoholi
10,en,zu_ZA,alveolar disease,isifo se-alveolar
11,en,zu_ZA,an epidemic,ubhubhane
12,en,zu_ZA,annual flu,umkhuhlane wangonyaka
13,en,zu_ZA,anti-inflammatory drug,umshanguzo we-anti-inflammatory
14,en,zu_ZA,antiviral drug,umshanguzo olwa negciwane
15,en,zu_ZA,antiviral treatment,ukwelashwa kokulwa negciwane
16,en,zu_ZA,assay,i-assay
17,en,zu_ZA,asymptomatic,i-asymptomatic
18,en,zu_ZA,avian flu,umkhuhlane we-avian
19,en,zu_ZA,Black Plague,Isishayo Esimnyama
20,en,zu_ZA,blood pressure,ukupompa kwegazi
21,en,zu_ZA,body fluid,uketshezi lwasemzimbeni
22,en,zu_ZA,breathing,ukuphefumula
23,en,zu_ZA,bubonic plague,isishayo se-bubonic
24,en,zu_ZA,c19,i-c19
25,en,zu_ZA,cv19,i-cv19
26,en,zu_ZA,case fatality rate,izinga lezigameko zokufa
27,en,zu_ZA,causative agent,isithunywa esibabayo
28,en,zu_ZA,CDC,I-CDC
29,en,zu_ZA,chemical disinfection,isisusa kutheleleka sekhemikhali
30,en,zu_ZA,chest x-ray,i-x-ray yesifuba
31,en,zu_ZA,clinical diagnosis,ukuxilongwa emtholampilo
32,en,zu_ZA,clinical trial,uvivinyo lomtholampilo
33,en,zu_ZA,close contact,ukuba seduzane
34,en,zu_ZA,cvirus,i-cvirus
35,en,zu_ZA,chronic respiratory disease,isifo se-acute respiratory esingumahlalakhona
36,en,zu_ZA,common cold,umkhuhlane ovamile
37,en,zu_ZA,common flu,ukhohlokhohlo oluvamile
38,en,zu_ZA,communicable disease,isifo esithathelanayo
39,en,zu_ZA,community spread,ukusabalala emphakathini
40,en,zu_ZA,community transmission,ukudluliselana emphakathini
41,en,zu_ZA,compromised immune system,amasosha omzimba asengozini
42,en,zu_ZA,contagion,ukutheleleka
43,en,zu_ZA,contagious,iyathathelana
44,en,zu_ZA,contagiousness,ukuthelelana
45,en,zu_ZA,corona,i-corona
46,en,zu_ZA,corona virus,igciwane le-corona
47,en,zu_ZA,corona virus epidemic,ubhubhane wegciwane le-corona
48,en,zu_ZA,corona virus outbreak,ukuqubuka kwegciwane le-corona
49,en,zu_ZA,corona virus scare,ukwesaba igciwane le-corona
50,en,zu_ZA,coronavirus,i-coronavirus
51,en,zu_ZA,coronavirus cases,izigameko ze-coronavirus
52,en,zu_ZA,coronavirus outbreak,ukuqubuka kwe-coronavirus
53,en,zu_ZA,coronavirus pandemic,umshayabhuqe we-coronavirus
54,en,zu_ZA,coronavirus scare,ukwasaba i-coronavirus
55,en,zu_ZA,cough,isikhwehlela
56,en,zu_ZA,cough etiquette,ukukhwehlela ngenhlonipho
57,en,zu_ZA,coughing,ukukhwehlela
58,en,zu_ZA,cov 19,i-cov 19
59,en,zu_ZA,cov19,i-cov19
60,en,zu_ZA,COVID,I-COVID
61,en,zu_ZA,COVID-19 crisis,Inhlekelele ye-COVID-19
62,en,zu_ZA,covid-19,i-covid-19
63,en,zu_ZA,covid19,i-covid19
64,en,zu_ZA,COVID-19 epidemic,Ubhubhane we-COVID-19
65,en,zu_ZA,COVID-19 outbreak,Ukuqubuka kwe-COVID-19
66,en,zu_ZA,COVID-19 pandemic,Umshayabhuqe we-COVID-19
67,en,zu_ZA,COVID 19,I-COVID 19
68,en,zu_ZA,current crisis,izinhlekelele zamanje
69,en,zu_ZA,current health crisis,izinhlekelele zempilo zamanje
70,en,zu_ZA,current outbreak,ukuqubuka kwamanje
71,en,zu_ZA,current pandemic,umshayabhuqe wamanje
72,en,zu_ZA,CV,I-CV
73,en,zu_ZA,CV-19,I-CV-19
74,en,zu_ZA,deadly,esibulalayo
75,en,zu_ZA,deadly virus,igciwane elibulalayo
76,en,zu_ZA,death rate,izinga lokufa
77,en,zu_ZA,death toll,inani lokufa
78,en,zu_ZA,decontaminate,susa ukungcola
79,en,zu_ZA,detectable,ukutholakala
80,en,zu_ZA,detergent,okokuhlanza
81,en,zu_ZA,difficulty breathing,ubunzima bokuphefumula
82,en,zu_ZA,diabetes,ushukela
83,en,zu_ZA,diagnosable disease,isifo esixilongekayo
84,en,zu_ZA,diagnostic protocol,iphrothokholi yokuxilonga
85,en,zu_ZA,diagnostic testing,uhlolo lokuxilonga
86,en,zu_ZA,disease itself,isifo ngokwaso
87,en,zu_ZA,disease outbreak,ukuqubuka kwesifo
88,en,zu_ZA,disinfectant,isibulala magciwane
89,en,zu_ZA,disposable,okulahlwayo
90,en,zu_ZA,droplet transmission,ukudlulisela ngamathonsi
91,en,zu_ZA,droplets,amathonsi
92,en,zu_ZA,dry cough,ukukhwehlela okungenamathe
93,en,zu_ZA,dry surface contamination,ukungcola kwendawo eyomile
94,en,zu_ZA,ebola,i-ebola
95,en,zu_ZA,effective treatment,ukwelashwa okusebenzayo
96,en,zu_ZA,electron microscope,i-electron microscope
97,en,zu_ZA,emergency department,umnyango weziphuthumayo
98,en,zu_ZA,epidemic,ubhubhane
99,en,zu_ZA,epidemic curve,ijika likabhubhane
100,en,zu_ZA,epidemic peak,ukwanda kukabhubhane
101,en,zu_ZA,epidemiologist,udokotela wezifo
102,en,zu_ZA,exposure,ukudaluleka
103,en,zu_ZA,extreme caution,isixwayiso esibucayi
104,en,zu_ZA,eye protection,ukuvikela iso
105,en,zu_ZA,face mask,imaksi yasebusweni
106,en,zu_ZA,face masks,amamaski wasebusweni
107,en,zu_ZA,family cluster,ukuhlangana ngomndeni
108,en,zu_ZA,fatality rate,izinga lokufa
109,en,zu_ZA,fecal contamination,ukungcolisa kwendle
110,en,zu_ZA,fever,imfiva
111,en,zu_ZA,flatten the infection curve,thambisa ijika lokutheleleka
112,en,zu_ZA,flu,umkhuhlane
113,en,zu_ZA,food safety,ukuphepha kokudla
114,en,zu_ZA,formaldehyde,i-formaldehyde
115,en,zu_ZA,gastroenteritis,i-gastroenteritis
116,en,zu_ZA,germicide,i-germicide
117,en,zu_ZA,global pandemic,umshayabhuqe wembulunga yonke
118,en,zu_ZA,global warming,ukufudumala kwembulunga yonke
119,en,zu_ZA,good respiratory hygiene,ukuphefumula okuhlanzekile
120,en,zu_ZA,Guangdong,I-Guangdong
121,en,zu_ZA,H1N1,I-H1N1
122,en,zu_ZA,H1N1 virus,Igciwane le-H1N1
123,en,zu_ZA,hand disinfectant,isibulala magciwane sezandla
124,en,zu_ZA,hand sanitizer,isihlambi-zandla
125,en,zu_ZA,health care provider,umnakekeli wezempilo
126,en,zu_ZA,health crisis,inhlekelele yezempilo
127,en,zu_ZA,health plan carrier,ophethe uhlelo lwezempilo
128,en,zu_ZA,health services,amasevisi ezempilo
129,en,zu_ZA,heart failure,ukwehluleka kwenhliziyo
130,en,zu_ZA,high fever,imfiva ephakeme
131,en,zu_ZA,HIV,I-HIV
132,en,zu_ZA,hospitalize,ukufakwa esibhedlela
133,en,zu_ZA,household bleach,i-bleach yasekhaya
134,en,zu_ZA,Hubei,I-Hubei
135,en,zu_ZA,hydrogen peroxide,i-hydrogen peroxide
136,en,zu_ZA,hygiene,inhlanzeko
137,en,zu_ZA,immune system,amasosha omzimba
138,en,zu_ZA,immunity,ukungatheleleki
139,en,zu_ZA,immunocompromised,ukungavikeleki komzimba
140,en,zu_ZA,immunologist,udokotela womzimba
141,en,zu_ZA,incubation,ukufukamela
142,en,zu_ZA,incubation period,isikhathi sokufukamela
143,en,zu_ZA,indirect contact,ukuxhumana okungaqondile
144,en,zu_ZA,infect,thelela
145,en,zu_ZA,infection,ukutheleleka
146,en,zu_ZA,infectious,kuyathelelana
147,en,zu_ZA,infectivity,ukuthelela
